"","Name","Opinions","Price","Weight","Dimensions","Batteries Required","Manufacturer"
"https://www.amazon.com/BISSELL-Cleanview-Upright-Bagless-2252/dp/B07F6N3RT6/ref=sr_1_2?dchild=1&keywords=vacuums&qid=1590865423&sr=8-2","
                
                    
                    
                

                
                    
                    
                        BISSELL Cleanview Swivel Pet Upright Bagless Vacuum Cleaner, Green, 2252
                    
                

                
                    
                    
                
            ","6,009 ratings","$99.66","17.86 pounds","13 x 14 x 44.5 inches","No","BISSELL"
"https://www.amazon.com/BISSELL-Cleanview-Bagless-Cleaner-2486/dp/B07L69RL4B/ref=sr_1_3?dchild=1&keywords=vacuums&qid=1590865423&sr=8-3","
                
                    
                    
                

                
                    
                    
                        BISSELL Cleanview Bagless Vacuum Cleaner, 2486, Orange
                    
                

                
                    
                    
                
            ","1,935 ratings","$79.99","17.16 pounds","13 x 14 x 44.5 inches","No","BISSELL"
"https://www.amazon.com/BISSELL-Cleanview-Upright-Bagless-Cleaner/dp/B07F6MXJ9X/ref=sr_1_4?dchild=1&keywords=vacuums&qid=1590865423&sr=8-4","
                
                    
                    
                

                
                    
                    
                        BISSELL Cleanview Swivel Rewind Pet Upright Bagless Vacuum Cleaner, Teal
                    
                

                
                    
                    
                
            ","2,435 ratings","$139.99","19.21 pounds","13 x 14 x 46 inches","No","Bissell"
"https://www.amazon.com/Shark-Navigator-Professional-Anti-Allergy-NV360/dp/B00JH98GR4/ref=sr_1_5?dchild=1&keywords=vacuums&qid=1590865423&sr=8-5","
                
                    
                    
                

                
                    
                    
                        Shark Navigator Lift-Away Deluxe NV360 Upright Vacuum, Blue
                    
                

                
                    
                    
                
            ","4,468 ratings",NA,"12.5 pounds","14.96 x 11.4 x 45.5 inches","No","SharkNinja"
"https://www.amazon.com/MOOSOO-Cordless-Powerful-Suction-Handheld/dp/B07QY81KQW/ref=sr_1_6?dchild=1&keywords=vacuums&qid=1590865423&sr=8-6","
                
                    
                    
                

                
                    
                    
                        MOOSOO Cordless Vacuum 4 in 1 Powerful Suction Stick Handheld Vacuum Cleaner for Home Hard Floor Carpet Car Pet - XL-618A, Lightweight
                    
                

                
                    
                    
                
            ","5,184 ratings","$109.99","3.3 pounds","44.1 x 9 x 10.2 inches","Yes","MOOSOO M"
"https://www.amazon.com/Shark-Lift-Away-NV752-Mini-Motorized-Bordeaux/dp/B00X7R1FZ2/ref=sr_1_7?dchild=1&keywords=vacuums&qid=1590865423&sr=8-7","
                
                    
                    
                

                
                    
                    
                        Shark Rotator Powered Lift-Away TruePet Upright Vacuum with HEPA Filter, Crevice Tool, Pet Multi-Tool and Power Brush with a Bordeaux Finish
                    
                

                
                    
                    
                
            ","4,175 ratings",NA,"15.4 pounds","13.2 x 11.9 x 45 inches","No","SharkNinja"
"https://www.amazon.com/NEU100-Airspeed-Ultra-Lightweight-Compact-Bagless/dp/B07MKGNK5W/ref=sr_1_8?dchild=1&keywords=vacuums&qid=1590865423&sr=8-8","
                
                    
                    
                

                
                    
                    
                        Eureka NEU100 Airspeed Ultra-Lightweight Compact Bagless Upright Vacuum Cleaner, Lime Green
                    
                

                
                    
                    
                
            ","1,937 ratings","$84.92","7.7 pounds","11.42 x 11.93 x 41.34 inches","No","Eureka"
"https://www.amazon.com/Shark-Navigator-Self-Cleaning-Brushroll-ZU62/dp/B07NFRP2RK/ref=sr_1_9?dchild=1&keywords=vacuums&qid=1590865423&sr=8-9","
                
                    
                    
                

                
                    
                    
                        Shark Navigator Zero-M Self-Cleaning Brushroll Pet Pro (ZU62) Upright Vacuum, Pewter Grey Metallic
                    
                

                
                    
                    
                
            ","1,011 ratings","$229.94","19.46 pounds","9.84 x 11.97 x 45.28 inches","No","SharkNinja"
"https://www.amazon.com/Bissell-Canister-2156A-Bagless-Vacuum/dp/B075PL2GDD/ref=sr_1_12?dchild=1&keywords=vacuums&qid=1590865423&sr=8-12","
                
                    
                    
                

                
                    
                    
                        Bissell Zing Canister, 2156A Vacuum, Green Bagless
                    
                

                
                    
                    
                
            ","3,753 ratings","$59.99","10.23 pounds","14 x 11 x 12 inches","No","BISSELL Homecare, Inc."
"https://www.amazon.com/Shark-Professional-Lift-Away-Anti-Allergy-NV501/dp/B0091JG0LY/ref=sr_1_13?dchild=1&keywords=vacuums&qid=1590865423&sr=8-13","
                
                    
                    
                

                
                    
                    
                        Shark Rotator Professional Upright Corded Bagless Vacuum for Carpet and Hard Floor with Lift-Away Hand Vacuum and Anti-Allergy Seal (NV501), White with Red Chrome
                    
                

                
                    
                    
                
            ","6,338 ratings",NA,"15.5 pounds","45.7 x 12.1 x 12.2 inches","No","SharkNinja"
"https://www.amazon.com/Hoover-Complete-Bagless-Upright-UH74110/dp/B07TWCKN7D/ref=sr_1_14?dchild=1&keywords=vacuums&qid=1590865423&sr=8-14",NA,NA,NA,"-1","-1","-1","-1"
"https://www.amazon.com/APOSEN-Cordless-Powerful-Brushless-Handheld/dp/B07Y37WDD5/ref=sr_1_15?dchild=1&keywords=vacuums&qid=1590865423&sr=8-15","
                
                    
                    
                

                
                    
                    
                        APOSEN Cordless Vacuum Cleaner 18KPa Powerful Suction 250W Brushless Motor 4 in 1 Stick Handheld Vacuum for Home Hard Floor Carpet Car Pet H250 Blue
                    
                

                
                    
                    
                
            ","1,034 ratings",NA,"5.5 pounds","17.32 x 10.03 x 7.87 inches","No","APOSEN"
"https://www.amazon.com/Sanitaire-SL4110A-Professional-Bagged-Upright/dp/B0844XKVR9/ref=sr_1_16?dchild=1&keywords=vacuums&qid=1590865423&sr=8-16","
                
                    
                    
                

                
                    
                    
                        Sanitaire, SL4110A Professional Bagged Upright Vacuum with On-Board Tools
                    
                

                
                    
                    
                
            ","21 ratings","$139.99","16.66 pounds","12 x 13 x 44.2 inches","No","Sanitaire"
"https://www.amazon.com/Hoover-Windtunnel-Capacity-Filtration-UH71100/dp/B07TV8QY93/ref=sr_1_17?dchild=1&keywords=vacuums&qid=1590865423&sr=8-17","
                
                    
                    
                

                
                    
                    
                        Hoover Windtunnel Max Capacity Upright Vacuum Cleaner with HEPA Media Filtration, UH71100, Red
                    
                

                
                    
                    
                
            ","126 ratings","$99.99","16.1 pounds","13 x 13.5 x 44.5 inches","No","Hoover"
"https://www.amazon.com/Shark-DuoClean-Zero-M-ZS362-Vacuum/dp/B07NFSG4FR/ref=sr_1_18?dchild=1&keywords=vacuums&qid=1590865423&sr=8-18","
                
                    
                    
                

                
                    
                    
                        Shark APEX DuoClean with Zero-M No Hair Wrap (ZS362) Stick Vacuum, Forest Mist Blue
                    
                

                
                    
                    
                
            ","854 ratings","$249.99","8 ounces","10.2 x 9.8 x 46.4 inches","No","SharkNinja"
"https://www.amazon.com/ORFELD-Cordless-Lithium-ion-Batteries-Japanese/dp/B08736YYC5/ref=sr_1_19?dchild=1&keywords=vacuums&qid=1590865423&sr=8-19","
                
                    
                    
                

                
                    
                    
                        ORFELD Cordless Vacuum, 22000pa Stick Vacuum 5 in 1, Smart Sensor Tech, 7-Cell Lithium-ion Batteries, Up to 60 Minutes Runtime, with Dual Japanese Motor for Deep Clean Whole House
                    
                

                
                    
                    
                
            ","15 ratings",NA,"7.48 pounds","45.28 x 9.84 x 9.06 inches","Yes","ORFELD"
"https://www.amazon.com/APOSEN-Cordless-Powerful-Brushless-Handheld/dp/B07Y37WDD5/ref=sr_1_19?dchild=1&keywords=vacuums&qid=1590865424&sr=8-19",NA,NA,NA,"-1","-1","-1","-1"
"https://www.amazon.com/BISSELL-Eraser-Lithium-Handheld-Cordless/dp/B07CB6RBSP/ref=sr_1_20?dchild=1&keywords=vacuums&qid=1590865424&sr=8-20","
                
                    
                    
                

                
                    
                    
                        BISSELL Pet Hair Eraser Lithium Ion Cordless Hand Vacuum, Purple
                    
                

                
                    
                    
                
            ","2,962 ratings","$69.99","4.24 pounds","4.5 x 16 x 5 inches","Yes","BISSELL Homecare, Inc"
"https://www.amazon.com/A10-Hero-Cordless-Lightweight-Authorized/dp/B07C5MXJMX/ref=sr_1_21?dchild=1&keywords=vacuums&qid=1590865424&sr=8-21","
                
                    
                    
                

                
                    
                    
                        Tineco A10 Hero Cordless Stick Vacuum Cleaner, Powerful Suction, Multi-Surface Cleaning, Great for Pet Hair, Space Blue
                    
                

                
                    
                    
                
            ","3,457 ratings","$149.99","5.03 pounds","12.5 x 8.3 x 43.3 inches","Yes","Tineco"
"https://www.amazon.com/Shark-Navigator-Freestyle-Brushroll-SV1106/dp/B00C351GBC/ref=sr_1_22?dchild=1&keywords=vacuums&qid=1590865424&sr=8-22",NA,NA,NA,"-1","-1","-1","-1"
"https://www.amazon.com/APOSEN-35min-Running-Motorized-Lightweight-Extension/dp/B07XCSZN1B/ref=sr_1_23?dchild=1&keywords=vacuums&qid=1590865424&sr=8-23","
                
                    
                    
                

                
                    
                    
                        APOSEN Cordless Vacuum Cleaner 4 in 1 Extension Wand Detachable Battery 35min Runtime Stick Vacuum HEPA Sponge Filtration H120
                    
                

                
                    
                    
                
            ","1,668 ratings",NA,"3 pounds","17.32 x 10.03 x 7.87 inches","Yes","APOSEN"
"https://www.amazon.com/NEU100-Airspeed-Ultra-Lightweight-Compact-Bagless/dp/B07MKGNK5W/ref=sr_1_24?dchild=1&keywords=vacuums&qid=1590865424&sr=8-24",NA,NA,NA,"-1","-1","-1","-1"
"https://www.amazon.com/Cleaner-Lightweight-Versatile-Handheld-Multiple/dp/B084S3MNCN/ref=sr_1_25?dchild=1&keywords=vacuums&qid=1590865424&sr=8-25","
                
                    
                    
                

                
                    
                    
                        Vacuum Cleaner Super Suction Pet Hair Eraser 4 in 1 Bagless Upright Corded Stick Vacuum Easy Empty Dirt Bin Noise Free Lightweight& Versatile Handheld Vacuum with LED Multiple Brush Corded Vacuum
                    
                

                
                    
                    
                
            ","333 ratings","$75.99","8.63 pounds","-1","No","Nequare"
"https://www.amazon.com/Eureka-Whirlwind-Canister-NEN110A-Lightweight/dp/B07GB4S9H5/ref=sr_1_26?dchild=1&keywords=vacuums&qid=1590865424&sr=8-26",NA,NA,NA,"-1","-1","-1","-1"
"https://www.amazon.com/DuoClean-HardFloor-Anti-Hair-Lift-Away-AZ1002/dp/B07FX5PCMN/ref=sr_1_29?dchild=1&keywords=vacuums&qid=1590865424&sr=8-29",NA,NA,NA,"-1","-1","-1","-1"
"https://www.amazon.com/BLACK-DECKER-Dustbuster-Cordless-CHV1410L/dp/B006LXOJC0/ref=sr_1_30?dchild=1&keywords=vacuums&qid=1590865424&sr=8-30","
                
                    
                    
                

                
                    
                    
                        BLACK+DECKER dustbuster Handheld Vacuum, Cordless, 16V (CHV1410L)
                    
                

                
                    
                    
                
            ","22,429 ratings","$59.86","2.6 pounds","17.25 x 5.5 x 7.75 inches","Yes","BLACK+DECKER"
"https://www.amazon.com/APOSEN-Cordless-Upgraded-Brushless-H251/dp/B0819R5Y4K/ref=sr_1_31?dchild=1&keywords=vacuums&qid=1590865424&sr=8-31","
                
                    
                    
                

                
                    
                    
                        APOSEN Cordless Vacuum Cleaner Upgraded Brushless Motor 5 in 1 Stick Handheld Vacuum 18KPa Powerful Suction 250W for Home Hard Floor Carpet Car Pet H251 Blue … (Blue)
                    
                

                
                    
                    
                
            ","409 ratings",NA,"5.5 pounds","17.4 x 10.3 x 8 inches","No","APOSEN"
"https://www.amazon.com/Oreck-Commercial-Upright-Cleaner-XL2100RHS/dp/B001NDNV18/ref=sr_1_32?dchild=1&keywords=vacuums&qid=1590865424&sr=8-32",NA,NA,NA,"-1","-1","-1","-1"
"https://www.amazon.com/Cordless-Cleaner-Powerful-Suction-Handheld/dp/B0819J3MQN/ref=sr_1_33?dchild=1&keywords=vacuums&qid=1590865424&sr=8-33","
                
                    
                    
                

                
                    
                    
                        Cordless Vacuum Cleaner 12KPa Powerful Suction 150W Motor 2 in 1 Stick Handheld Vacuum for Home Hard Floor Carpet Car Pet
                    
                

                
                    
                    
                
            ","578 ratings","$106.99","3.08 pounds","-1","Yes","ONSON"
"https://www.amazon.com/ECOVACS-DEEBOT-500-Controls-Self-Charging/dp/B07Q7Y84S6/ref=sr_1_34?dchild=1&keywords=vacuums&qid=1590865424&sr=8-34",NA,NA,NA,"-1","-1","-1","-1"
"https://www.amazon.com/Vacuum-Cleaner-17000PA-Lightweight-GeeMo/dp/B086GTYLVT/ref=sr_1_35?dchild=1&keywords=vacuums&qid=1590865424&sr=8-35","
                
                    
                    
                

                
                    
                    
                        Vacuum Cleaner Corded 17000PA 3 in 1 Stick Vacuum Cleaner with HEPA Filter Lightweight for Home Hard Floor Car Pet GeeMo H594
                    
                

                
                    
                    
                
            ","292 ratings","$47.99","6.16 pounds","3.94 x 3.94 x 11.81 inches","Yes","GeeMo"
"https://www.amazon.com/Dyson-Cyclone-Motorhead-Lightweight-Cordless/dp/B0798B31TC/ref=sr_1_36?dchild=1&keywords=vacuums&qid=1590865424&sr=8-36",NA,NA,NA,"-1","-1","-1","-1"
"https://www.amazon.com/Ultra-Light-Anti-Hair-Technology-Steering-ZS351/dp/B07FWYLKSG/ref=sr_1_35?dchild=1&keywords=vacuums&qid=1590865425&sr=8-35","
                
                    
                    
                

                
                    
                    
                        Shark ZS351 Rocket Corded Ultra-Light Vacuum with Zero-M Anti-Hair Wrap Technology, XL Dust Cup, Hand Vacuum Mode, & Swivel Steering, Plum Purple
                    
                

                
                    
                    
                
            ","631 ratings","$209.99","13.92 pounds","13.4 x 10.2 x 47.2 inches","No","SharkNinja"
"https://www.amazon.com/GOOVI-Self-Charging-Protectio-Multiple-Cleaning/dp/B07R1SZP62/ref=sr_1_36?dchild=1&keywords=vacuums&qid=1590865425&sr=8-36","
                
                    
                    
                

                
                    
                    
                        Robot Vacuum, GOOVI 1600PA Robotic Vacuum Cleaner with Self-Charging, 360° Smart Sensor Protectio, Multiple Cleaning Modes Vacuum Best for Pet Hairs, Hard Floor & Medium Carpet
                    
                

                
                    
                    
                
            ","4,780 ratings",NA,"8.83 pounds","12.75 x 12.79 x 2.83 inches","Yes","GOOVI"
"https://www.amazon.com/MOOSOO-Cleaner-Suction-Handheld-D600/dp/B083JW3GSV/ref=sr_1_37?dchild=1&keywords=vacuums&qid=1590865425&sr=8-37","
                
                    
                    
                

                
                    
                    
                        MOOSOO Vacuum Cleaner, 17KPa Suction Stick Vacuum 2 in 1 Handheld Vacuum for Hard Floor with HEPA Filters, D600
                    
                

                
                    
                    
                
            ","576 ratings","$44.99","2.8 pounds","50 x 8.7 x 9.8 inches","No","MOOSOO M"
"https://www.amazon.com/Hoover-Windtunnel-Capacity-Filtration-UH71100/dp/B07TV8QY93/ref=sr_1_38?dchild=1&keywords=vacuums&qid=1590865425&sr=8-38",NA,NA,NA,"-1","-1","-1","-1"
"https://www.amazon.com/BISSELL-Eraser-Upright-Cleaner-27909/dp/B083JWGWK2/ref=sr_1_39?dchild=1&keywords=vacuums&qid=1590865425&sr=8-39",NA,NA,NA,"-1","-1","-1","-1"
"https://www.amazon.com/BISSELL-Cleanview-Upright-Cleaner-24899/dp/B07LGS8CX2/ref=sr_1_40?dchild=1&keywords=vacuums&qid=1590865425&sr=8-40","
                
                    
                    
                

                
                    
                    
                        BISSELL Cleanview Rewind Pet Deluxe Upright Vacuum Cleaner, 24899, Green
                    
                

                
                    
                    
                
            ","710 ratings","$149.99","19.01 pounds","13 x 14 x 46 inches","No","BISSELL"
"https://www.amazon.com/ProTeam-ProForce-Upright-Filtration-Commercial/dp/B006YTMNYC/ref=sr_1_41?dchild=1&keywords=vacuums&qid=1590865425&sr=8-41","
                
                    
                    
                

                
                    
                    
                        ProTeam ProForce 1500XP Bagged Upright Vacuum Cleaner with HEPA Media Filtration, Commercial Upright Vacuum with On-Board Tools, Corded
                    
                

                
                    
                    
                
            ","162 ratings","$368.39","26.7 pounds","48 x 15 x 7.9 inches","No","ProTeam"
"https://www.amazon.com/Cordless-Hikeren-Powerful-Lightweight-Rechargeable/dp/B083DKDDV6/ref=sr_1_42?dchild=1&keywords=vacuums&qid=1590865425&sr=8-42","
                
                    
                    
                

                
                    
                    
                        Cordless Vacuum, Hikeren Stick Vacuum Cleaner, Powerful Lightweight 2 in 1 Handheld Vacuum with Rechargeable Lithium Ion Battery for Hardwood Floor Carpet Pet Hair, Black
                    
                

                
                    
                    
                
            ","374 ratings","$94.99","2.91 pounds","43.3 x 9.8 x 6.7 inches","Yes","Hikeren"
"https://www.amazon.com/Vacuum-Helena-Du-Baic/dp/B07Y4D25HL/ref=sr_1_45?dchild=1&keywords=vacuums&qid=1590865425&sr=8-45",NA,NA,NA,"-1","-1","-1","-1"
"https://www.amazon.com/BLACK-DECKER-BSV2020G-Extreme-Cordless/dp/B07WFBKG6C/ref=sr_1_46?dchild=1&keywords=vacuums&qid=1590865425&sr=8-46",NA,NA,NA,"-1","-1","-1","-1"
"https://www.amazon.com/BISSELL-Aeroswift-Compact-Cleaner-26129/dp/B07WM9VDP9/ref=sr_1_47?dchild=1&keywords=vacuums&qid=1590865425&sr=8-47",NA,NA,NA,"-1","-1","-1","-1"
"https://www.amazon.com/Sanitaire-SL4110A-Professional-Bagged-Upright/dp/B0844XKVR9/ref=sr_1_48?dchild=1&keywords=vacuums&qid=1590865425&sr=8-48",NA,NA,NA,"-1","-1","-1","-1"
"https://www.amazon.com/ILIFE-Robotic-Powerful-Tangle-free-Planning/dp/B06Y56NDF4/ref=sr_1_49?dchild=1&keywords=vacuums&qid=1590865425&sr=8-49",NA,NA,NA,"-1","-1","-1","-1"
"https://www.amazon.com/BISSELL-Lightweight-Upright-Cleaner-24613/dp/B07QXTS4KH/ref=sr_1_50?dchild=1&keywords=vacuums&qid=1590865425&sr=8-50","
                
                    
                    
                

                
                    
                    
                        BISSELL Pet Hair Eraser Turbo Plus Lightweight Upright Vacuum Cleaner, 24613
                    
                

                
                    
                    
                
            ","394 ratings","$229.99","19.31 pounds","13 x 15.75 x 44.5 inches","No","Bissell"
"https://www.amazon.com/Dyson-Upright-Cleaner-Ball-Animal/dp/B01N4BI77I/ref=sr_1_51?dchild=1&keywords=vacuums&qid=1590865425&sr=8-51",NA,NA,NA,"-1","-1","-1","-1"
"https://www.amazon.com/Vaclife-Handheld-Cordless-Rechargeable-Cleaning/dp/B07XM5F1F3/ref=sr_1_52?dchild=1&keywords=vacuums&qid=1590865425&sr=8-52",NA,NA,NA,"-1","-1","-1","-1"
